--------------------------------------------------------------------------
[[60518,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: banner

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
entering...
Arguments:  Namespace(copy_mb=256, memory_mb=224)
CopyGenerator[build:53]: Copy count is      33554432
CopyGenerator[build:54]: operandwidth       8
CopyGenerator[build:55]: read start       0x0
CopyGenerator[build:56]: writestart       0x10000000
CopyGenerator[build:57]: N-per-generate     2
The value of tRCD is 300
After initialization 
 cpu.read_reqs : Accumulator : Sum.u64 = 33554432; SumSQ.u64 = 33554432; Count.u64 = 33554432; Min.u64 = 1; Max.u64 = 1; 
 cpu.write_reqs : Accumulator : Sum.u64 = 33554432; SumSQ.u64 = 33554432; Count.u64 = 33554432; Min.u64 = 1; Max.u64 = 1; 
 cpu.custom_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_read_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_write_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_custom_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.cycles_with_issue : Accumulator : Sum.u64 = 40545082; SumSQ.u64 = 40545082; Count.u64 = 40545082; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles_no_issue : Accumulator : Sum.u64 = 2777997663; SumSQ.u64 = 2777997663; Count.u64 = 2777997663; Min.u64 = 1; Max.u64 = 1; 
 cpu.total_bytes_read : Accumulator : Sum.u64 = 268435456; SumSQ.u64 = 2147483648; Count.u64 = 33554432; Min.u64 = 8; Max.u64 = 8; 
 cpu.total_bytes_write : Accumulator : Sum.u64 = 268435456; SumSQ.u64 = 2147483648; Count.u64 = 33554432; Min.u64 = 8; Max.u64 = 8; 
 cpu.total_bytes_custom : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.req_latency : Accumulator : Sum.u64 = 34528262094; SumSQ.u64 = 19697794517252; Count.u64 = 67108864; Min.u64 = 3; Max.u64 = 912; 
 cpu.time : Accumulator : Sum.u64 = 1409271373; SumSQ.u64 = 1986045802757305129; Count.u64 = 1; Min.u64 = 1409271373; Max.u64 = 1409271373; 
 cpu.cycles_hit_fence : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.cycles_max_issue : Accumulator : Sum.u64 = 26563782; SumSQ.u64 = 26563782; Count.u64 = 26563782; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles_max_reorder : Accumulator : Sum.u64 = 6990624; SumSQ.u64 = 6990624; Count.u64 = 6990624; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles : Accumulator : Sum.u64 = 2818542746; SumSQ.u64 = 2818542746; Count.u64 = 2818542746; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetch_opportunities : Accumulator : Sum.u64 = 16777216; SumSQ.u64 = 16777216; Count.u64 = 16777216; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_issued : Accumulator : Sum.u64 = 8257536; SumSQ.u64 = 8257536; Count.u64 = 8257536; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_canceled_by_page_boundary : Accumulator : Sum.u64 = 262142; SumSQ.u64 = 262142; Count.u64 = 262142; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_canceled_by_history : Accumulator : Sum.u64 = 8519680; SumSQ.u64 = 8519680; Count.u64 = 8519680; Min.u64 = 1; Max.u64 = 1; 
 l1cache.Prefetch_requests : Accumulator : Sum.u64 = 8257536; SumSQ.u64 = 8257536; Count.u64 = 8257536; Min.u64 = 1; Max.u64 = 1; 
 l1cache.Prefetch_drops : Accumulator : Sum.u64 = 7; SumSQ.u64 = 7; Count.u64 = 7; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetS_I : Accumulator : Sum.u64 = 5570514; SumSQ.u64 = 5570514; Count.u64 = 5570514; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetS_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetS_M : Accumulator : Sum.u64 = 2752558; SumSQ.u64 = 2752558; Count.u64 = 2752558; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetX_I : Accumulator : Sum.u64 = 2818094; SumSQ.u64 = 2818094; Count.u64 = 2818094; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetX_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetX_M : Accumulator : Sum.u64 = 29360128; SumSQ.u64 = 29360128; Count.u64 = 29360128; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetSX_I : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSX_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSX_M : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSResp_IS : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetXResp_IS : Accumulator : Sum.u64 = 5570514; SumSQ.u64 = 5570514; Count.u64 = 5570514; Min.u64 = 1; Max.u64 = 1; 
