--------------------------------------------------------------------------
[[64312,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: banner

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
entering...
Arguments:  Namespace(copy_mb=96, memory_mb=128)
CopyGenerator[build:53]: Copy count is      12582912
CopyGenerator[build:54]: operandwidth       8
CopyGenerator[build:55]: read start       0x0
CopyGenerator[build:56]: writestart       0x6000000
CopyGenerator[build:57]: N-per-generate     2
The value of tRCD is 300
After initialization 
 cpu.read_reqs : Accumulator : Sum.u64 = 12582912; SumSQ.u64 = 12582912; Count.u64 = 12582912; Min.u64 = 1; Max.u64 = 1; 
 cpu.write_reqs : Accumulator : Sum.u64 = 12582912; SumSQ.u64 = 12582912; Count.u64 = 12582912; Min.u64 = 1; Max.u64 = 1; 
 cpu.custom_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_read_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_write_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.split_custom_reqs : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.cycles_with_issue : Accumulator : Sum.u64 = 15204496; SumSQ.u64 = 15204496; Count.u64 = 15204496; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles_no_issue : Accumulator : Sum.u64 = 1041730637; SumSQ.u64 = 1041730637; Count.u64 = 1041730637; Min.u64 = 1; Max.u64 = 1; 
 cpu.total_bytes_read : Accumulator : Sum.u64 = 100663296; SumSQ.u64 = 805306368; Count.u64 = 12582912; Min.u64 = 8; Max.u64 = 8; 
 cpu.total_bytes_write : Accumulator : Sum.u64 = 100663296; SumSQ.u64 = 805306368; Count.u64 = 12582912; Min.u64 = 8; Max.u64 = 8; 
 cpu.total_bytes_custom : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.req_latency : Accumulator : Sum.u64 = 12947871449; SumSQ.u64 = 7386466384775; Count.u64 = 25165824; Min.u64 = 3; Max.u64 = 912; 
 cpu.time : Accumulator : Sum.u64 = 528467567; SumSQ.u64 = 279277969370899489; Count.u64 = 1; Min.u64 = 528467567; Max.u64 = 528467567; 
 cpu.cycles_hit_fence : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 cpu.cycles_max_issue : Accumulator : Sum.u64 = 9961328; SumSQ.u64 = 9961328; Count.u64 = 9961328; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles_max_reorder : Accumulator : Sum.u64 = 2621558; SumSQ.u64 = 2621558; Count.u64 = 2621558; Min.u64 = 1; Max.u64 = 1; 
 cpu.cycles : Accumulator : Sum.u64 = 1056935134; SumSQ.u64 = 1056935134; Count.u64 = 1056935134; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetch_opportunities : Accumulator : Sum.u64 = 6291456; SumSQ.u64 = 6291456; Count.u64 = 6291456; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_issued : Accumulator : Sum.u64 = 3096576; SumSQ.u64 = 3096576; Count.u64 = 3096576; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_canceled_by_page_boundary : Accumulator : Sum.u64 = 98303; SumSQ.u64 = 98303; Count.u64 = 98303; Min.u64 = 1; Max.u64 = 1; 
 l1cache.prefetches_canceled_by_history : Accumulator : Sum.u64 = 3194880; SumSQ.u64 = 3194880; Count.u64 = 3194880; Min.u64 = 1; Max.u64 = 1; 
 l1cache.Prefetch_requests : Accumulator : Sum.u64 = 3096576; SumSQ.u64 = 3096576; Count.u64 = 3096576; Min.u64 = 1; Max.u64 = 1; 
 l1cache.Prefetch_drops : Accumulator : Sum.u64 = 7; SumSQ.u64 = 7; Count.u64 = 7; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetS_I : Accumulator : Sum.u64 = 2088914; SumSQ.u64 = 2088914; Count.u64 = 2088914; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetS_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetS_M : Accumulator : Sum.u64 = 1032238; SumSQ.u64 = 1032238; Count.u64 = 1032238; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetX_I : Accumulator : Sum.u64 = 1056814; SumSQ.u64 = 1056814; Count.u64 = 1056814; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetX_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetX_M : Accumulator : Sum.u64 = 11010048; SumSQ.u64 = 11010048; Count.u64 = 11010048; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetSX_I : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSX_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSX_M : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetSResp_IS : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_GetXResp_IS : Accumulator : Sum.u64 = 2088914; SumSQ.u64 = 2088914; Count.u64 = 2088914; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetXResp_IM : Accumulator : Sum.u64 = 1056814; SumSQ.u64 = 1056814; Count.u64 = 1056814; Min.u64 = 1; Max.u64 = 1; 
 l1cache.stateEvent_GetXResp_SM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_I : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_IS : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_IM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_SM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_SB : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Inv_IB : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_I : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_M : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_IS : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_IM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_SB : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_FetchInvX_IB : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_I : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_S : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_IS : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_IM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_SM : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
 l1cache.stateEvent_Fetch_IB : Accumulator : Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
